# paragraph 0
# sent
Citizen	NNP	O	~	~
's	POS	O	~	~
only	JJ	O	~	~
responsibility	NN	O	~	~
is	VBZ	O	~	~
to	TO	O	~	~
pay	VB	O	~	~
taxes	NNS	O	~	~
# paragraph 1
# sent
There	EX	O	~	~
is	VBZ	O	~	~
a	DT	O	~	~
controversial	JJ	O	~	~
debate	NN	O	~	~
around	IN	O	~	~
the	DT	O	~	~
world	NN	O	~	~
about	IN	O	~	~
the	DT	O	~	~
duties	NNS	O	~	~
of	IN	O	~	~
citizen	NN	O	~	~
.	.	O	~	~
# sent
Some	DT	O	~	~
people	NNS	O	~	~
believe	VBP	O	~	~
that	IN	O	~	~
paying	VBG	O	~	~
tax	NN	O	~	~
is	VBZ	O	~	~
the	DT	O	~	~
only	JJ	O	~	~
responsibility	NN	O	~	~
of	IN	O	~	~
citizens	NNS	O	~	~
,	,	O	~	~
while	IN	O	~	~
others	NNS	O	~	~
disagree	VBP	O	~	~
and	CC	O	~	~
think	VBP	O	~	~
that	IN	O	~	~
being	VBG	O	~	~
a	DT	O	~	~
person	NN	O	~	~
in	IN	O	~	~
society	NN	O	~	~
involves	VBZ	O	~	~
more	RBR	O	~	~
responsibilities	NNS	O	~	~
.	.	O	~	~
# paragraph 2
# sent
Taxes	NNS	B-Premise	0	supports:2
are	VBP	I-Premise	0	supports:2
the	DT	I-Premise	0	supports:2
income	NN	I-Premise	0	supports:2
for	IN	I-Premise	0	supports:2
every	DT	I-Premise	0	supports:2
country	NN	I-Premise	0	supports:2
in	IN	I-Premise	0	supports:2
the	DT	I-Premise	0	supports:2
world	NN	I-Premise	0	supports:2
and	CC	I-Premise	0	supports:2
they	PRP	I-Premise	0	supports:2
are	VBP	I-Premise	0	supports:2
extremely	RB	I-Premise	0	supports:2
important	JJ	I-Premise	0	supports:2
for	IN	I-Premise	0	supports:2
developing	VBG	I-Premise	0	supports:2
countries	NNS	I-Premise	0	supports:2
.	.	O	~	~
# sent
If	IN	B-Premise	1	supports:2
people	NNS	I-Premise	1	supports:2
are	VBP	I-Premise	1	supports:2
paying	VBG	I-Premise	1	supports:2
taxes	NNS	I-Premise	1	supports:2
,	,	I-Premise	1	supports:2
that	DT	I-Premise	1	supports:2
means	VBZ	I-Premise	1	supports:2
they	PRP	I-Premise	1	supports:2
are	VBP	I-Premise	1	supports:2
taking	VBG	I-Premise	1	supports:2
part	NN	I-Premise	1	supports:2
in	IN	I-Premise	1	supports:2
the	DT	I-Premise	1	supports:2
development	NN	I-Premise	1	supports:2
of	IN	I-Premise	1	supports:2
their	PRP$	I-Premise	1	supports:2
country	NN	I-Premise	1	supports:2
as	RB	I-Premise	1	supports:2
well	RB	I-Premise	1	supports:2
as	IN	I-Premise	1	supports:2
the	DT	I-Premise	1	supports:2
country	NN	I-Premise	1	supports:2
's	POS	I-Premise	1	supports:2
economy	NN	I-Premise	1	supports:2
.	.	O	~	~
# sent
Therefore	RB	O	~	~
,	,	O	~	~
they	PRP	B-Claim	2	Against:~
have	VBP	I-Claim	2	Against:~
fulfilled	VBN	I-Claim	2	Against:~
their	PRP$	I-Claim	2	Against:~
duty	NN	I-Claim	2	Against:~
as	IN	I-Claim	2	Against:~
