# paragraph 0
# sent
Farmland	NNP	O	~	~
,	,	O	~	~
housing	NN	O	~	~
and	CC	O	~	~
industry	NN	O	~	~
or	CC	O	~	~
saving	VBG	O	~	~
land	NN	O	~	~
for	IN	O	~	~
animals	NNS	O	~	~
?	.	O	~	~
# paragraph 1
# sent
Nowadays	RB	O	~	~
,	,	O	~	~
there	EX	O	~	~
is	VBZ	O	~	~
a	DT	O	~	~
prevailing	VBG	O	~	~
opinion	NN	O	~	~
that	IN	O	~	~
human	JJ	O	~	~
needs	NNS	O	~	~
for	IN	O	~	~
farmland	NN	O	~	~
,	,	O	~	~
housing	NN	O	~	~
and	CC	O	~	~
industry	NN	O	~	~
are	VBP	O	~	~
more	RBR	O	~	~
important	JJ	O	~	~
than	IN	O	~	~
saving	VBG	O	~	~
land	NN	O	~	~
for	IN	O	~	~
endangered	VBN	O	~	~
animals	NNS	O	~	~
.	.	O	~	~
# sent
People	NNS	O	~	~
who	WP	O	~	~
disagree	VBP	O	~	~
with	IN	O	~	~
the	DT	O	~	~
point	NN	O	~	~
dispute	NN	O	~	~
that	IN	O	~	~
the	DT	O	~	~
decreasing	VBG	O	~	~
of	IN	O	~	~
land	NN	O	~	~
for	IN	O	~	~
endangered	VBN	O	~	~
animals	NNS	O	~	~
will	MD	O	~	~
bring	VB	O	~	~
damage	NN	O	~	~
to	TO	O	~	~
ecological	JJ	O	~	~
balance	NN	O	~	~
.	.	O	~	~
# sent
As	IN	O	~	~
far	RB	O	~	~
as	IN	O	~	~
I	PRP	O	~	~
am	VBP	O	~	~
concerned	JJ	O	~	~
,	,	O	~	~
I	PRP	O	~	~
agree	VBP	O	~	~
with	IN	O	~	~
the	DT	O	~	~
opinion	NN	O	~	~
human	JJ	B-MajorClaim	0	~
needs	NNS	I-MajorClaim	0	~
for	IN	I-MajorClaim	0	~
farmland	NN	I-MajorClaim	0	~
,	,	I-MajorClaim	0	~
housing	NN	I-MajorClaim	0	~
and	CC	I-MajorClaim	0	~
industry	NN	I-MajorClaim	0	~
are	VBP	I-MajorClaim	0	~
more	RBR	I-MajorClaim	0	~
