# paragraph 0
# sent
Best	JJS	O	~	~
ways	NNS	O	~	~
of	IN	O	~	~
reducing	VBG	O	~	~
stress	NN	O	~	~
:	:	O	~	~
listening	VBG	O	~	~
to	TO	O	~	~
music	NN	O	~	~
,	,	O	~	~
exercise	NN	O	~	~
,	,	O	~	~
meditation	NN	O	~	~
# paragraph 1
# sent
Nowadays	RB	O	~	~
,	,	O	~	~
we	PRP	O	~	~
are	VBP	O	~	~
living	VBG	O	~	~
in	IN	O	~	~
in	IN	O	~	~
the	DT	O	~	~
world	NN	O	~	~
which	WDT	O	~	~
is	VBZ	O	~	~
absolutely	RB	O	~	~
complicated	VBN	O	~	~
.	.	O	~	~
# sent
Everything	NN	O	~	~
seem	VBP	O	~	~
to	TO	O	~	~
be	VB	O	~	~
rush	NN	O	~	~
,	,	O	~	~
and	CC	O	~	~
it	PRP	O	~	~
have	VBP	O	~	~
a	DT	O	~	~
lot	NN	O	~	~
of	IN	O	~	~
competition	NN	O	~	~
.	.	O	~	~
# sent
These	DT	O	~	~
make	VBP	O	~	~
people	NNS	O	~	~
get	VB	O	~	~
stress	NN	O	~	~
.	.	O	~	~
# sent
Thus	RB	O	~	~
,	,	O	~	~
many	JJ	O	~	~
people	NNS	O	~	~
try	VBP	O	~	~
to	TO	O	~	~
reduce	VB	O	~	~
their	PRP$	O	~	~
stress	NN	O	~	~
.	.	O	~	~
# sent
There	EX	O	~	~
are	VBP	O	~	~
many	JJ	O	~	~
activities	NNS	O	~	~
that	WDT	O	~	~
could	MD	O	~	~
relieve	VB	O	~	~
those	DT	O	~	~
people	NNS	O	~	~
who	WP	O	~	~
are	VBP	O	~	~
in	IN	O	~	~
stress	NN	O	~	~
.	.	O	~	~
# sent
in	IN	O	~	~
my	PRP$	O	~	~
opinion	NN	O	~	~
,	,	O	~	~
reducing	VBG	B-MajorClaim	0	~
stress	NN	I-MajorClaim	0	~
by	IN	I-MajorClaim	0	~
listening	VBG	I-MajorClaim	0	~
to	TO	I-MajorClaim	0	~
music	NN	I-MajorClaim	0	~
,	,	I-MajorClaim	0	~
playing	VBG	I-MajorClaim	0	~
sports	NNS	I-MajorClaim	0	~
,	,	I-MajorClaim	0	~
and	CC	I-MajorClaim	0	~
doing	VBG	I-MajorClaim	0	~
meditation	NN	I-MajorClaim	0	~
are	VBP	I-MajorClaim	0	~
easy	JJ	I-MajorClaim	0	~
and	CC	I-MajorClaim	0	~
practical	JJ	I-MajorClaim	0	~
ways	NNS	I-MajorClaim	0	~
.	.	O	~	~
# paragraph 2
# sent
First	NNP	O	~	~
of	IN	O	~	~
all	DT	O	~	~
,	,	O	~	~
listening	VBG	B-Claim	1	For:~
to	TO	I-Claim	1	For:~
music	NN	I-Claim	1	For:~
is	VBZ	I-Claim	1	For:~
a	DT	I-Claim	1	For:~
great	JJ	I-Claim	1	For:~
way	NN	I-Claim	1	For:~
to	TO	I-Claim	1	For:~
relax	VB	I-Claim	1	For:~
.	.	O	~	~
# sent
For	IN	O	~	~
example	NN	O	~	~
,	,	O	~	~
when	WRB	O	~	~
I	PRP	O	~	~
go	VBP	O	~	~
to	TO	O	~	~
office	NN	O	~	~
,	,	O	~	~
I	PRP	O	~	~
use	VBP	O	~	~
public	JJ	O	~	~
transport	NN	O	~	~
.	.	O	~	~
# sent
I	PRP	O	~	~
see	VBP	O	~	~
many	JJ	O	~	~
things	NNS	O	~	~
such	JJ	O	~	~
as	IN	O	~	~
traffic	NN	O	~	~
jam	NN	O	~	~
,	,	O	~	~
crowded	VBD	O	~	~
people	NNS	O	~	~
at	IN	O	~	~
bus	NN	O	~	~
stop	NN	O	~	~
,	,	O	~	~
and	CC	O	~	~
all	DT	O	~	~
so	RB	O	~	~
crowded	JJ	O	~	~
people	NNS	O	~	~
in	IN	O	~	~
buses	NNS	O	~	~
.	.	O	~	~
# sent
These	DT	O	~	~
make	VBP	O	~	~
me	PRP	O	~	~
stress	NN	O	~	~
.	.	O	~	~
# sent
So	RB	O	~	~
that	IN	O	~	~
I	PRP	B-Premise	2	supports:1
always	RB	I-Premise	2	supports:1
listen	VBP	I-Premise	2	supports:1
music	NN	I-Premise	2	supports:1
from	IN	I-Premise	2	supports:1
my	PRP$	I-Premise	2	supports:1
mp3	NN	I-Premise	2	supports:1
player	NN	I-Premise	2	supports:1
.	.	O	~	~
# sent
I	PRP	B-Premise	3	supports:4
could	MD	I-Premise	3	supports:4
enjoy	VB	I-Premise	3	supports:4
listening	VBG	I-Premise	3	supports:4
music	NN	I-Premise	3	supports:4
without	IN	I-Premise	3	supports:4
thinking	NN	I-Premise	3	supports:4
of	IN	I-Premise	3	supports:4
people	NNS	I-Premise	3	supports:4
around	IN	I-Premise	3	supports:4
me	PRP	I-Premise	3	supports:4
.	.	O	~	~
# sent
Consequently	RB	O	~	~
,	,	O	~	~
I	PRP	B-Premise	4	supports:1
feel	VBP	I-Premise	4	supports:1
happy	JJ	I-Premise	4	supports:1
when	WRB	I-Premise	4	supports:1
I	PRP	I-Premise	4	supports:1
listen	VBP	I-Premise	4	supports:1
music	NN	I-Premise	4	supports:1
.	.	O	~	~
# paragraph 3
# sent
Second	RB	O	~	~
,	,	O	~	~
another	DT	B-Claim	5	For:~
way	NN	I-Claim	5	For:~
that	WDT	I-Claim	5	For:~
is	VBZ	I-Claim	5	For:~
perfectly	RB	I-Claim	5	For:~
work	VB	I-Claim	5	For:~
for	IN	I-Claim	5	For:~
everyone	NN	I-Claim	5	For:~
to	TO	I-Claim	5	For:~
reduce	VB	I-Claim	5	For:~
the	DT	I-Claim	5	For:~
stress	NN	I-Claim	5	For:~
is	VBZ	I-Claim	5	For:~
exercise	NN	I-Claim	5	For:~
.	.	O	~	~
# sent
For	IN	O	~	~
instance	NN	O	~	~
,	,	O	~	~
I	PRP	O	~	~
alway	RB	O	~	~
have	VBP	O	~	~
many	JJ	O	~	~
things	NNS	O	~	~
in	IN	O	~	~
my	PRP$	O	~	~
mind	NN	O	~	~
such	JJ	O	~	~
as	IN	O	~	~
a	DT	O	~	~
difficult	JJ	O	~	~
of	IN	O	~	~
my	PRP$	O	~	~
work	NN	O	~	~
that	IN	O	~	~
I	PRP	O	~	~
have	VBP	O	~	~
to	TO	O	~	~
finish	VB	O	~	~
in	IN	O	~	~
time	NN	O	~	~
.	.	O	~	~
# sent
These	DT	O	~	~
problem	NN	O	~	~
sometime	RB	O	~	~
make	VBP	O	~	~
me	PRP	O	~	~
hard	JJ	O	~	~
to	TO	O	~	~
fall	VB	O	~	~
asleep	RB	O	~	~
because	IN	O	~	~
it	PRP	O	~	~
make	VB	O	~	~
me	PRP	O	~	~
stress	NN	O	~	~
.	.	O	~	~
# sent
Thus	RB	O	~	~
,	,	O	~	~
after	IN	B-Premise	6	supports:5
work	NN	I-Premise	6	supports:5
,	,	I-Premise	6	supports:5
I	PRP	I-Premise	6	supports:5
always	RB	I-Premise	6	supports:5
do	VBP	I-Premise	6	supports:5
exercise	NN	I-Premise	6	supports:5
,	,	I-Premise	6	supports:5
and	CC	I-Premise	6	supports:5
jogging	NN	I-Premise	6	supports:5
is	VBZ	I-Premise	6	supports:5
my	PRP$	I-Premise	6	supports:5
favorite	JJ	I-Premise	6	supports:5
sport	NN	I-Premise	6	supports:5
.	.	O	~	~
# sent
I	PRP	B-Premise	7	supports:5
feel	VBP	I-Premise	7	supports:5
that	IN	I-Premise	7	supports:5
after	IN	I-Premise	7	supports:5
working	VBG	I-Premise	7	supports:5
out	RP	I-Premise	7	supports:5
,	,	I-Premise	7	supports:5
I	PRP	I-Premise	7	supports:5
am	VBP	I-Premise	7	supports:5
easily	RB	I-Premise	7	supports:5
to	TO	I-Premise	7	supports:5
fall	VB	I-Premise	7	supports:5
asleep	RB	I-Premise	7	supports:5
.	.	O	~	~
# sent
Exercising	VBG	B-Premise	8	supports:5
not	RB	I-Premise	8	supports:5
only	RB	I-Premise	8	supports:5
reduce	VB	I-Premise	8	supports:5
my	PRP$	I-Premise	8	supports:5
stress	NN	I-Premise	8	supports:5
but	CC	I-Premise	8	supports:5
also	RB	I-Premise	8	supports:5
make	VB	I-Premise	8	supports:5
me	PRP	I-Premise	8	supports:5
get	VB	I-Premise	8	supports:5
a	DT	I-Premise	8	supports:5
good	JJ	I-Premise	8	supports:5
health	NN	I-Premise	8	supports:5
.	.	O	~	~
# paragraph 4
# sent
Third	NNP	O	~	~
,	,	O	~	~
meditation	NN	B-Claim	9	For:~
also	RB	I-Claim	9	For:~
one	CD	I-Claim	9	For:~
of	IN	I-Claim	9	For:~
the	DT	I-Claim	9	For:~
ways	NNS	I-Claim	9	For:~
to	TO	I-Claim	9	For:~
reduce	VB	I-Claim	9	For:~
the	DT	I-Claim	9	For:~
stress	NN	I-Claim	9	For:~
.	.	O	~	~
# sent
when	WRB	O	~	~
I	PRP	O	~	~
have	VBP	O	~	~
many	JJ	O	~	~
things	NNS	O	~	~
to	TO	O	~	~
think	VB	O	~	~
about	RB	O	~	~
,	,	O	~	~
and	CC	O	~	~
this	DT	O	~	~
make	VB	O	~	~
me	PRP	O	~	~
stress	NN	O	~	~
,	,	O	~	~
I	PRP	O	~	~
will	MD	O	~	~
do	VB	O	~	~
meditation	NN	O	~	~
.	.	O	~	~
# sent
Meditation	NN	B-Premise	10	supports:9
is	VBZ	I-Premise	10	supports:9
easy	JJ	I-Premise	10	supports:9
way	NN	I-Premise	10	supports:9
to	TO	I-Premise	10	supports:9
relax	VB	I-Premise	10	supports:9
because	IN	O	~	~
it	PRP	B-Premise	11	supports:10
is	VBZ	I-Premise	11	supports:10
not	RB	I-Premise	11	supports:10
require	VB	I-Premise	11	supports:10
any	DT	I-Premise	11	supports:10
equipment	NN	I-Premise	11	supports:10
,	,	I-Premise	11	supports:10
and	CC	I-Premise	11	supports:10
it	PRP	I-Premise	11	supports:10
take	VB	I-Premise	11	supports:10
few	JJ	I-Premise	11	supports:10
minutes	NNS	I-Premise	11	supports:10
.	.	O	~	~
# sent
A	DT	B-Premise	12	supports:11
way	NN	I-Premise	12	supports:11
to	TO	I-Premise	12	supports:11
do	VB	I-Premise	12	supports:11
