# paragraph 0
# sent
Fatherhood	NNP	O	~	~
should	MD	O	~	~
be	VB	O	~	~
as	IN	O	~	~
present	JJ	O	~	~
as	IN	O	~	~
motherhood	NN	O	~	~
in	IN	O	~	~
a	DT	O	~	~
child	NN	O	~	~
's	POS	O	~	~
life	NN	O	~	~
starting	VBG	O	~	~
from	IN	O	~	~
the	DT	O	~	~
the	DT	O	~	~
birth	NN	O	~	~
# paragraph 1
# sent
In	IN	O	~	~
today	NN	O	~	~
's	POS	O	~	~
world	NN	O	~	~
,	,	O	~	~
having	VBG	O	~	~
and	CC	O	~	~
raising	VBG	O	~	~
children	NNS	O	~	~
can	MD	O	~	~
be	VB	O	~	~
a	DT	O	~	~
very	RB	O	~	~
difficult	JJ	O	~	~
task	NN	O	~	~
for	IN	O	~	~
families	NNS	O	~	~
,	,	O	~	~
the	DT	O	~	~
smallest	JJS	O	~	~
component	NN	O	~	~
of	IN	O	~	~
the	DT	O	~	~
society	NN	O	~	~
.	.	O	~	~
# sent
While	IN	O	~	~
mother	NN	O	~	~
's	POS	O	~	~
role	NN	O	~	~
is	VBZ	O	~	~
essential	JJ	O	~	~
in	IN	O	~	~
a	DT	O	~	~
child	NN	O	~	~
's	POS	O	~	~
life	NN	O	~	~
,	,	O	~	~
I	PRP	O	~	~
completely	RB	O	~	~
agree	VBP	O	~	~
with	IN	O	~	~
the	DT	O	~	~
idea	NN	O	~	~
that	IN	O	~	~
fatherhood	NN	B-MajorClaim	0	~
is	VBZ	I-MajorClaim	0	~
a	DT	I-MajorClaim	0	~
as	RB	I-MajorClaim	0	~
vital	JJ	I-MajorClaim	0	~
part	NN	I-MajorClaim	0	~
of	IN	I-MajorClaim	0	~
a	DT	I-MajorClaim	0	~
healty	JJ	I-MajorClaim	0	~
parantage	NN	I-MajorClaim	0	~
as	RB	I-MajorClaim	0	~
much	RB	I-MajorClaim	0	~
as	IN	I-MajorClaim	0	~
motherhood	NN	I-MajorClaim	0	~
.	.	O	~	~
# paragraph 2
# sent
The	DT	B-Claim	1	For:~
first	JJ	I-Claim	1	For:~
reason	NN	I-Claim	1	For:~
why	WRB	I-Claim	1	For:~
the	DT	I-Claim	1	For:~
father	NN	I-Claim	1	For:~
's	POS	I-Claim	1	For:~
role	NN	I-Claim	1	For:~
should	MD	I-Claim	1	For:~
be	VB	I-Claim	1	For:~
equal	JJ	I-Claim	1	For:~
to	TO	I-Claim	1	For:~
the	DT	I-Claim	1	For:~
mother	NN	I-Claim	1	For:~
's	POS	I-Claim	1	For:~
role	NN	I-Claim	1	For:~
is	VBZ	I-Claim	1	For:~
the	DT	I-Claim	1	For:~
nature	NN	I-Claim	1	For:~
of	IN	I-Claim	1	For:~
parantage	NN	I-Claim	1	For:~
.	.	O	~	~
# sent
In	IN	O	~	~
my	PRP$	O	~	~
view	NN	O	~	~
,	,	O	~	~
the	DT	B-Premise	2	supports:1
role	NN	I-Premise	2	supports:1
models	NNS	I-Premise	2	supports:1
within	IN	I-Premise	2	supports:1
a	DT	I-Premise	2	supports:1
family	NN	I-Premise	2	supports:1
play	VBP	I-Premise	2	supports:1
a	DT	I-Premise	2	supports:1
significant	JJ	I-Premise	2	supports:1
role	NN	I-Premise	2	supports:1
in	IN	I-Premise	2	supports:1
the	DT	I-Premise	2	supports:1
development	NN	I-Premise	2	supports:1
of	IN	I-Premise	2	supports:1
the	DT	I-Premise	2	supports:1
child	NN	I-Premise	2	supports:1
's	POS	I-Premise	2	supports:1
characteristics	NNS	I-Premise	2	supports:1
.	.	O	~	~
# sent
For	IN	O	~	~
example	NN	O	~	~
,	,	O	~	~
in	IN	B-Premise	3	supports:2
a	DT	I-Premise	3	supports:2
traditional	JJ	I-Premise	3	supports:2
Turkish	JJ	I-Premise	3	supports:2
family	NN	I-Premise	3	supports:2
,	,	I-Premise	3	supports:2
while	IN	I-Premise	3	supports:2
a	DT	I-Premise	3	supports:2
mother	NN	I-Premise	3	supports:2
has	VBZ	I-Premise	3	supports:2
a	DT	I-Premise	3	supports:2
sincere	JJ	I-Premise	3	supports:2
and	CC	I-Premise	3	supports:2
thoughtful	JJ	I-Premise	3	supports:2
approach	NN	I-Premise	3	supports:2
to	TO	I-Premise	3	supports:2
the	DT	I-Premise	3	supports:2
child	NN	I-Premise	3	supports:2
,	,	I-Premise	3	supports:2
a	DT	I-Premise	3	supports:2
father	NN	I-Premise	3	supports:2
role	NN	I-Premise	3	supports:2
must	MD	I-Premise	3	supports:2
be	VB	I-Premise	3	supports:2
present	JJ	I-Premise	3	supports:2
as	IN	I-Premise	3	supports:2
authoritarian	JJ	I-Premise	3	supports:2
and	CC	I-Premise	3	supports:2
conversative	JJ	I-Premise	3	supports:2
to	TO	I-Premise	3	supports:2
raise	VB	I-Premise	3	supports:2
a	DT	I-Premise	3	supports:2
well-behaved	JJ	I-Premise	3	supports:2
child	NN	I-Premise	3	supports:2
.	.	O	~	~
# paragraph 3
# sent
The	DT	B-Claim	4	For:~
second	JJ	I-Claim	4	For:~
reason	NN	I-Claim	4	For:~
why	WRB	I-Claim	4	For:~
I	PRP	I-Claim	4	For:~
believe	VBP	I-Claim	4	For:~
that	IN	I-Claim	4	For:~
fatherood	NN	I-Claim	4	For:~
is	VBZ	I-Claim	4	For:~
as	RB	I-Claim	4	For:~
important	JJ	I-Claim	4	For:~
as	IN	I-Claim	4	For:~
motherhood	NN	I-Claim	4	For:~
is	VBZ	I-Claim	4	For:~
the	DT	I-Claim	4	For:~
dynamics	NNS	I-Claim	4	For:~
of	IN	I-Claim	4	For:~
the	DT	I-Claim	4	For:~
relationships	NNS	I-Claim	4	For:~
today	NN	I-Claim	4	For:~
.	.	O	~	~
# sent
In	IN	O	~	~
my	PRP$	O	~	~
opinion	NN	O	~	~
,	,	O	~	~
we	PRP	B-Premise	5	supports:4
are	VBP	I-Premise	5	supports:4
living	VBG	I-Premise	5	supports:4
in	IN	I-Premise	5	supports:4
a	DT	I-Premise	5	supports:4
society	NN	I-Premise	5	supports:4
that	WDT	I-Premise	5	supports:4
puts	VBZ	I-Premise	5	supports:4
a	DT	I-Premise	5	supports:4
significant	JJ	I-Premise	5	supports:4
importance	NN	I-Premise	5	supports:4
to	TO	I-Premise	5	supports:4
gender	VB	I-Premise	5	supports:4
equality	NN	I-Premise	5	supports:4
in	IN	I-Premise	5	supports:4
every	DT	I-Premise	5	supports:4
aspect	NN	I-Premise	5	supports:4
of	IN	I-Premise	5	supports:4
the	DT	I-Premise	5	supports:4
life	NN	I-Premise	5	supports:4
,	,	I-Premise	5	supports:4
including	VBG	I-Premise	5	supports:4
relationships	NNS	I-Premise	5	supports:4
.	.	O	~	~
# sent
For	IN	O	~	~
instance	NN	O	~	~
,	,	O	~	~
a	DT	B-Premise	6	supports:5
family	NN	I-Premise	6	supports:5
formed	VBN	I-Premise	6	supports:5
by	IN	I-Premise	6	supports:5
a	DT	I-Premise	6	supports:5
woman	NN	I-Premise	6	supports:5
with	IN	I-Premise	6	supports:5
a	DT	I-Premise	6	supports:5
housewife	NN	I-Premise	6	supports:5
role	NN	I-Premise	6	supports:5
who	WP	I-Premise	6	supports:5
looks	VBZ	I-Premise	6	supports:5
after	IN	I-Premise	6	supports:5
the	DT	I-Premise	6	supports:5
home	NN	I-Premise	6	supports:5
and	CC	I-Premise	6	supports:5
takes	VBZ	I-Premise	6	supports:5
