Learning	NNP	O	~	~
facts	NNS	O	~	~
has	VBZ	O	~	~
more	JJR	O	~	~
subsequent	JJ	O	~	~
advantages	NNS	O	~	~
for	IN	O	~	~
students	NNS	O	~	~
'	POS	O	~	~
future	JJ	O	~	~
lives	NNS	O	~	~
There	EX	O	~	~
are	VBP	B-Claim	0	~
many	JJ	I-Claim	0	~
debates	NNS	I-Claim	0	~
regarding	VBG	I-Claim	0	~
whether	IN	I-Claim	0	~
understanding	VBG	I-Claim	0	~
ideas	NNS	I-Claim	0	~
and	CC	I-Claim	0	~
concepts	NNS	I-Claim	0	~
is	VBZ	I-Claim	0	~
more	RBR	I-Claim	0	~
essential	JJ	I-Claim	0	~
than	IN	I-Claim	0	~
learning	VBG	I-Claim	0	~
facts	NNS	I-Claim	0	~
for	IN	I-Claim	0	~
students	NNS	I-Claim	0	~
or	CC	O	~	~
not	RB	O	~	~
.	.	O	~	~
Although	IN	O	~	~
multitudes	NNS	O	~	~
of	IN	O	~	~
people	NNS	O	~	~
think	VBP	O	~	~
that	IN	O	~	~
knowledge	NN	O	~	~
of	IN	O	~	~
ideas	NNS	O	~	~
and	CC	B-Claim	1	~
concepts	NNS	I-Claim	1	~
is	VBZ	I-Claim	1	~
more	RBR	I-Claim	1	~
vital	JJ	O	~	~
for	IN	O	~	~
students	NNS	O	~	~
,	,	O	~	~
I	PRP	O	~	~
am	VBP	O	~	~
in	IN	O	~	~
the	DT	O	~	~
conviction	NN	O	~	~
that	IN	O	~	~
learning	VBG	B-MajorClaim	2	~
facts	NNS	I-MajorClaim	2	~
has	VBZ	I-MajorClaim	2	~
more	JJR	I-MajorClaim	2	~
subsequent	JJ	I-MajorClaim	2	~
advantages	NNS	I-MajorClaim	2	~
for	IN	I-MajorClaim	2	~
students	NNS	I-MajorClaim	2	~
'	POS	I-MajorClaim	2	~
future	JJ	I-MajorClaim	2	~
lives	NNS	I-MajorClaim	2	~
.	.	O	~	~
In	IN	O	~	~
the	DT	O	~	~
following	VBG	O	~	~
,	,	O	~	~
I	PRP	O	~	~
will	MD	O	~	~
state	VB	O	~	~
my	PRP$	O	~	~
reasons	NNS	O	~	~
for	IN	O	~	~
this	DT	O	~	~
choice	NN	O	~	~
.	.	O	~	~
First	RB	O	~	~
,	,	O	~	~
when	WRB	B-Premise	3	supports:5
students	NNS	I-Premise	3	supports:5
learn	VBP	I-Premise	3	supports:5
facts	NNS	I-Premise	3	supports:5
more	RBR	I-Premise	3	supports:5
in	IN	I-Premise	3	supports:5
school	NN	I-Premise	3	supports:5
,	,	I-Premise	3	supports:5
they	PRP	I-Premise	3	supports:5
would	MD	I-Premise	3	supports:5
be	VB	I-Premise	3	supports:5
ready	JJ	I-Premise	3	supports:5
for	IN	I-Premise	3	supports:5
facing	VBG	I-Premise	3	supports:5
problems	NNS	I-Premise	3	supports:5
in	IN	I-Premise	3	supports:5
their	PRP$	I-Premise	3	supports:5
own	JJ	I-Premise	3	supports:5
life	NN	I-Premise	3	supports:5
after	IN	I-Premise	3	supports:5
their	PRP$	I-Premise	3	supports:5
graduations	NNS	I-Premise	3	supports:5
.	.	O	~	~
As	IN	O	~	~
a	DT	O	~	~
case	NN	O	~	~
in	IN	O	~	~
point	NN	O	~	~
,	,	O	~	~
more	JJR	B-Claim	4	supports:5
information	NN	I-Claim	4	supports:5
about	IN	I-Claim	4	supports:5
facts	NNS	I-Claim	4	supports:5
would	MD	I-Claim	4	supports:5
make	VB	I-Claim	4	supports:5
students	NNS	I-Claim	4	supports:5
more	RBR	I-Claim	4	supports:5
familiar	JJ	I-Claim	4	supports:5
with	IN	I-Claim	4	supports:5
the	DT	I-Claim	4	supports:5
real	JJ	I-Claim	4	supports:5
life	NN	I-Claim	4	supports:5
other	JJ	I-Claim	4	supports:5
that	IN	I-Claim	4	supports:5
only	RB	I-Claim	4	supports:5
their	PRP$	I-Claim	4	supports:5
concepts	NNS	I-Claim	4	supports:5
.	.	O	~	~
As	IN	O	~	~
a	DT	O	~	~
result	NN	O	~	~
,	,	O	~	~
they	PRP	B-Premise	5	For:~
would	MD	I-Premise	5	For:~
prepare	VB	I-Premise	5	For:~
to	TO	I-Premise	5	For:~
encounter	VB	I-Premise	5	For:~
their	PRP$	I-Premise	5	For:~
life	NN	I-Premise	5	For:~
out	IN	I-Premise	5	For:~
of	IN	I-Premise	5	For:~
school	NN	I-Premise	5	For:~
to	TO	I-Premise	5	For:~
solve	VB	I-Premise	5	For:~
their	PRP$	I-Premise	5	For:~
problems	NNS	I-Premise	5	For:~
better	RBR	I-Premise	5	For:~
.	.	O	~	~
Second	RB	O	~	~
,	,	O	~	~
it	PRP	B-Claim	6	For:~
would	MD	I-Claim	6	For:~
improve	VB	I-Claim	6	For:~
students	NNS	I-Claim	6	For:~
'	POS	I-Claim	6	For:~
social	JJ	I-Claim	6	For:~
behavior	NN	I-Claim	6	For:~
.	.	O	~	~
If	IN	B-Premise	7	supports:6
students	NNS	I-Premise	7	supports:6
only	RB	I-Premise	7	supports:6
rely	VBP	I-Premise	7	supports:6
on	IN	I-Premise	7	supports:6
concepts	NNS	I-Premise	7	supports:6
and	CC	I-Premise	7	supports:6
ideas	NNS	I-Premise	7	supports:6
theorically	RB	I-Premise	7	supports:6
,	,	I-Premise	7	supports:6
they	PRP	I-Premise	7	supports:6
would	MD	I-Premise	7	supports:6
not	RB	I-Premise	7	supports:6
realize	VB	I-Premise	7	supports:6
human	JJ	I-Premise	7	supports:6
's	POS	I-Premise	7	supports:6
mind	NN	I-Premise	7	supports:6
very	RB	I-Premise	7	supports:6
well	RB	I-Premise	7	supports:6
.	.	O	~	~
They	PRP	B-Premise	8	supports:9
should	MD	I-Premise	8	supports:9
understand	VB	I-Premise	8	supports:9
objects	NNS	I-Premise	8	supports:9
more	RBR	I-Premise	8	supports:9
that	IN	I-Premise	8	supports:9
concepts	NNS	I-Premise	8	supports:9
to	TO	I-Premise	8	supports:9
obtain	VB	I-Premise	8	supports:9
the	DT	I-Premise	8	supports:9
ability	NN	I-Premise	8	supports:9
of	IN	I-Premise	8	supports:9
analyzing	VBG	I-Premise	8	supports:9
matters	NNS	I-Premise	8	supports:9
well	RB	I-Premise	8	supports:9
.	.	O	~	~
Thus	RB	O	~	~
,	,	O	~	~
if	IN	B-Premise	9	supports:6
they	PRP	I-Premise	9	supports:6
deal	VBP	I-Premise	9	supports:6
more	RBR	I-Premise	9	supports:6
with	IN	I-Premise	9	supports:6
facts	NNS	I-Premise	9	supports:6
,	,	I-Premise	9	supports:6
they	PRP	I-Premise	9	supports:6
can	MD	I-Premise	9	supports:6
realize	VB	I-Premise	9	supports:6
social	JJ	I-Premise	9	supports:6
situations	NNS	I-Premise	9	supports:6
effectively	RB	I-Premise	9	supports:6
and	CC	I-Premise	9	supports:6
so	RB	I-Premise	9	supports:6
improve	VB	I-Premise	9	supports:6
their	PRP$	I-Premise	9	supports:6
social	JJ	I-Premise	9	supports:6
communication	NN	I-Premise	9	supports:6
in	IN	I-Premise	9	supports:6
everyday	JJ	I-Premise	9	supports:6
life	NN	I-Premise	9	supports:6
.	.	O	~	~
Moreover	RB	O	~	~
,	,	O	~	~
these	DT	B-Premise	10	supports:11
way	NN	I-Premise	10	supports:11
students	NNS	I-Premise	10	supports:11
are	VBP	I-Premise	10	supports:11
teached	VBN	I-Premise	10	supports:11
to	TO	I-Premise	10	supports:11
control	VB	I-Premise	10	supports:11
their	PRP$	I-Premise	10	supports:11
fears	NNS	I-Premise	10	supports:11
and	CC	I-Premise	10	supports:11
concerns	NNS	I-Premise	10	supports:11
in	IN	I-Premise	10	supports:11
facing	VBG	I-Premise	10	supports:11
facts	NNS	I-Premise	10	supports:11
.	.	O	~	~
As	IN	O	~	~
a	DT	O	~	~
matter	NN	O	~	~
of	IN	O	~	~
fact	NN	O	~	~
,	,	O	~	~
when	WRB	B-Premise	11	For:~
a	DT	I-Premise	11	For:~
student	NN	I-Premise	11	For:~
understands	VBZ	I-Premise	11	For:~
a	DT	I-Premise	11	For:~
fact	NN	I-Premise	11	For:~
and	CC	I-Premise	11	For:~
its	PRP$	I-Premise	11	For:~
consequences	NNS	I-Premise	11	For:~
,	,	I-Premise	11	For:~
he	PRP	I-Premise	11	For:~
or	CC	I-Premise	11	For:~
she	PRP	I-Premise	11	For:~
can	MD	I-Premise	11	For:~
encounter	VB	I-Premise	11	For:~
it	PRP	I-Premise	11	For:~
more	RBR	I-Premise	11	For:~
confidently	RB	I-Premise	11	For:~
.	.	O	~	~
In	IN	O	~	~
my	PRP$	O	~	~
viewpoint	NN	O	~	~
,	,	O	~	~
concerns	NNS	B-Claim	12	supports:11
and	CC	I-Claim	12	supports:11
anxieties	NNS	I-Claim	12	supports:11
are	VBP	I-Claim	12	supports:11
very	RB	I-Claim	12	supports:11
destructive	JJ	I-Claim	12	supports:11
in	IN	I-Claim	12	supports:11
everybody	NN	I-Claim	12	supports:11
's	POS	I-Claim	12	supports:11
life	NN	I-Claim	12	supports:11
.	.	O	~	~
It	PRP	B-Premise	13	supports:11
can	MD	I-Premise	13	supports:11
prevent	VB	I-Premise	13	supports:11
person	NN	I-Premise	13	supports:11
to	TO	I-Premise	13	supports:11
progress	VB	I-Premise	13	supports:11
and	CC	I-Premise	13	supports:11
thrive	VB	I-Premise	13	supports:11
in	IN	O	~	~
every	DT	O	~	~
position	NN	O	~	~
.	.	O	~	~
All	DT	O	~	~
in	IN	O	~	~
all	DT	O	~	~
,	,	O	~	~
I	PRP	O	~	~
am	VBP	O	~	~
in	IN	O	~	~
the	DT	O	~	~
belief	NN	O	~	~
that	IN	O	~	~
learning	VBG	B-MajorClaim	14	~
